113319,108,167,6,10,6
105602,61,42,6,10,6
103837,60,38,6,10,6
103714,77,26,6,10,6
106109,81,36,6,10,6
105174,37,34,6,10,6
103108,62,47,6,10,6
102514,70,45,6,10,6
105994,88,51,6,10,6
103596,60,44,6,10,6
185739,38,33,7,12,6
183826,38,21,7,12,6
186542,57,42,7,12,6
186361,71,32,7,12,6
183850,64,20,7,12,6
181721,75,51,7,12,6
183409,75,25,7,12,6
181194,58,47,7,12,6
185081,38,23,7,12,6
186708,56,38,7,12,6
1.09139e+06,40,20,7,10,7
1.09425e+06,40,42,7,10,7
1.08162e+06,39,23,7,10,7
1.08527e+06,38,20,7,10,7
1.08872e+06,40,41,7,10,7
1.10866e+06,51,20,7,10,7
1.10964e+06,39,20,7,10,7
1.08216e+06,39,54,7,10,7
1.08188e+06,58,36,7,10,7
1.08348e+06,57,54,7,10,7
86078,36,20,7,10,6
88915,37,21,7,10,6
98310,63,22,7,10,6
83725,36,27,7,10,6
87575,55,38,7,10,6
81923,56,45,7,10,6
82989,78,21,7,10,6
84442,37,37,7,10,6
82405,49,33,7,10,6
86725,52,23,7,10,6
1.57054e+06,41,27,7,12,7
1.58865e+06,41,56,7,12,7
1.54857e+06,65,22,7,12,7
1.59029e+06,40,24,7,12,7
1.55386e+06,41,28,7,12,7
1.54819e+06,58,41,7,12,7
1.53913e+06,58,21,7,12,7
1.54683e+06,58,22,7,12,7
1.53642e+06,41,23,7,12,7
1.57363e+06,76,44,7,12,7
1.41216e+06,57,20,7,10,7
1.4165e+06,89,22,7,10,7
1.49092e+06,49,54,7,10,7
1.41846e+06,73,20,7,10,7
1.4012e+06,58,20,7,10,7
1.45666e+06,39,34,7,10,7
1.46438e+06,63,22,7,10,7
1.49091e+06,41,20,7,10,7
1.46705e+06,57,50,7,10,7
1.43414e+06,120,45,7,10,7
312239,38,21,6,10,6
331852,71,45,6,10,6
332140,36,37,6,10,6
313731,36,54,6,10,6
311027,87,20,6,10,6
319742,37,35,6,10,6
320382,38,51,6,10,6
317957,56,20,6,10,6
320179,56,20,6,10,6
354301,36,26,6,10,6
1.21055e+06,43,56,7,10,7
1.17102e+06,110,29,7,10,7
1.16316e+06,99,20,7,10,7
1.15936e+06,51,33,7,10,7
1.13066e+06,77,57,7,10,7
1.15026e+06,41,27,7,10,7
1.12054e+06,42,21,7,10,7
1.1273e+06,48,40,7,10,7
1.11324e+06,59,33,7,10,7
1.12484e+06,97,20,7,10,7
1.21055e+06,43,56,7,10,7
1.17102e+06,110,29,7,10,7
1.16316e+06,99,20,7,10,7
1.15936e+06,51,33,7,10,7
1.13066e+06,77,57,7,10,7
1.15026e+06,41,27,7,10,7
1.12054e+06,42,21,7,10,7
1.1273e+06,48,40,7,10,7
1.11324e+06,59,33,7,10,7
1.12484e+06,97,20,7,10,7
1.41216e+06,57,20,7,10,7
1.4165e+06,89,22,7,10,7
1.49092e+06,49,54,7,10,7
1.41846e+06,73,20,7,10,7
1.4012e+06,58,20,7,10,7
1.45666e+06,39,34,7,10,7
1.46438e+06,63,22,7,10,7
1.49091e+06,41,20,7,10,7
1.46705e+06,57,50,7,10,7
1.43414e+06,120,45,7,10,7
